,year,ami,ami_pct,ami_pct_value,ami_pct_monthly,ami_pct_aff_threshold,aff_units,pct_aff_units
57,2000,72891,1.8,131203.80000000002,10933.650000000001,3280.0950000000003,579718.0,0.982501275330781
58,2000,72891,1.9,138492.9,11541.074999999999,3462.3224999999998,580751.0,0.9842519951935707
59,2000,72891,2.0,145782.0,12148.5,3644.5499999999997,581044.0,0.9847485691720773
60,2010,64546,0.1,6454.6,537.8833333333333,161.36499999999998,3138.0,0.005941077686501183
61,2010,64546,0.2,12909.2,1075.7666666666667,322.72999999999996,19359.0,0.0366517918843137
62,2010,64546,0.3,19363.8,1613.6499999999999,484.0949999999999,31975.0,0.06053727183743636
63,2010,64546,0.4,25818.4,2151.5333333333333,645.4599999999999,46142.0,0.0873592117943077
64,2010,64546,0.5,32273.0,2689.4166666666665,806.8249999999999,67187.0,0.12720305497863446
65,2010,64546,0.6,38727.6,3227.2999999999997,968.1899999999998,113160.0,0.21424230433539637
66,2010,64546,0.7,45182.2,3765.183333333333,1129.5549999999998,181659.0,0.34392932805994847
67,2010,64546,0.8,51636.8,4303.066666666667,1290.9199999999998,257052.0,0.4866685473137355
68,2010,64546,0.9,58091.4,4840.95,1452.2849999999999,324353.0,0.6140874349425488
69,2010,64546,1.0,64546.0,5378.833333333333,1613.6499999999999,372183.0,0.704642484574592
70,2010,64546,1.1,71000.6,5916.716666666667,1775.015,408176.0,0.772786910696401
71,2010,64546,1.2,77455.2,6454.599999999999,1936.3799999999997,433863.0,0.8214193079345005
72,2010,64546,1.3,83909.8,6992.483333333334,2097.745,456081.0,0.8634839554930356
73,2010,64546,1.4,90364.4,7530.366666666666,2259.1099999999997,471749.0,0.8931476920105947
74,2010,64546,1.5,96819.0,8068.25,2420.475,482201.0,0.9129361381480423
75,2010,64546,1.6,103273.6,8606.133333333333,2581.8399999999997,491334.0,0.9302273626575437
76,2010,64546,1.7,109728.2,9144.016666666666,2743.205,500029.0,0.9466893354058317
77,2010,64546,1.8,116182.8,9681.9,2904.5699999999997,504818.0,0.9557561999822033
78,2010,64546,1.9,122637.4,10219.783333333333,3065.935,509317.0,0.9642740165888217
79,2010,64546,2.0,129092.0,10757.666666666666,3227.2999999999997,513429.0,0.972059138146149
80,2014,64732,0.1,6473.200000000001,539.4333333333334,161.83,3333.0,0.00732392261648399
81,2014,64732,0.2,12946.400000000001,1078.8666666666668,323.66,17957.0,0.03945864939220012
82,2014,64732,0.3,19419.6,1618.3,485.48999999999995,31232.0,0.06862908825623401
83,2014,64732,0.4,25892.800000000003,2157.7333333333336,647.32,45602.0,0.10020567631470234
84,2014,64732,0.5,32366.0,2697.1666666666665,809.15,66462.0,0.14604336781780947
85,2014,64732,0.6,38839.2,3236.6,970.9799999999999,108025.0,0.23737375956966186
86,2014,64732,0.7,45312.399999999994,3776.033333333333,1132.8099999999997,168949.0,0.3712479454342495
87,2014,64732,0.8,51785.600000000006,4315.466666666667,1294.64,229187.0,0.5036147172829631
88,2014,64732,0.9,58258.8,4854.900000000001,1456.47,275758.0,0.6059496708300006
89,2014,64732,1.0,64732.0,5394.333333333333,1618.3,313219.0,0.6882663420379534
90,2014,64732,1.1,71205.20000000001,5933.766666666667,1780.13,335081.0,0.7363058248587074
91,2014,64732,1.2,77678.4,6473.2,1941.9599999999998,358274.0,0.7872700424537008
92,2014,64732,1.3,84151.6,7012.633333333334,2103.79,378961.0,0.8327275843580526
93,2014,64732,1.4,90624.79999999999,7552.066666666666,2265.6199999999994,399905.0,0.8787498571692259
94,2014,64732,1.5,97098.0,8091.5,2427.45,410404.0,0.9018203232809767
95,2014,64732,1.6,103571.20000000001,8630.933333333334,2589.28,419315.0,0.9214013237116664
96,2014,64732,1.7,110044.4,9170.366666666667,2751.11,427267.0,0.938875020875267
97,2014,64732,1.8,116517.6,9709.800000000001,2912.94,432521.0,0.9504201422155031
98,2014,64732,1.9,122990.79999999999,10249.233333333332,3074.7699999999995,436500.0,0.9591635829868771
99,2014,64732,2.0,129464.0,10788.666666666666,3236.6,437896.0,0.9622311485352155
100,2023,76845,0.1,7684.5,640.375,192.11249999999998,2257.0,0.003793851170765326
101,2023,76845,0.2,15369.0,1280.75,384.22499999999997,23052.0,0.03874871829352339
102,2023,76845,0.3,23053.5,1921.125,576.3375,39311.0,0.06607890269116337
103,2023,76845,0.4,30738.0,2561.5,768.4499999999999,61642.0,0.10361567295893497
104,2023,76845,0.5,38422.5,3201.875,960.5625,117212.0,0.1970247600477383
105,2023,76845,0.6,46107.0,3842.25,1152.675,191340.0,0.32162848161906843
106,2023,76845,0.7,53791.5,4482.625,1344.7875,255044.0,0.42871022507606193
107,2023,76845,0.8,61476.0,5123.0,1536.8999999999999,328101.0,0.5515136743372947
108,2023,76845,0.9,69160.5,5763.375,1729.0125,379355.0,0.6376678825368544
109,2023,76845,1.0,76845.0,6403.75,1921.125,425662.0,0.7155065472088215
110,2023,76845,1.1,84529.5,7044.125,2113.2374999999997,461985.0,0.7765628414382008
111,2023,76845,1.2,92214.0,7684.5,2305.35,494005.0,0.8303861088231833
112,2023,76845,1.3,99898.5,8324.875,2497.4625,517497.0,0.8698744347884554
113,2023,76845,1.4,107583.0,8965.25,2689.575,540058.0,0.9077978181573684
114,2023,76845,1.5,115267.5,9605.625,2881.6875,552056.0,0.9279655746247332
115,2023,76845,1.6,122952.0,10246.0,3073.7999999999997,560210.0,0.9416718495234573
116,2023,76845,1.7,130636.5,10886.375,3265.9125,566074.0,0.951528802676035
117,2023,76845,1.8,138321.0,11526.75,3458.025,572052.0,0.9615773814526567
118,2023,76845,1.9,146005.5,12167.125,3650.1375,577674.0,0.9710275503857726
119,2023,76845,2.0,153690.0,12807.5,3842.25,580507.0,0.975789615235918
